hayal kırıklığı

güneşle gülerim

sevmek bir şans

hayat bir dans

seni severim çok

umutla bakarım hep

gözlerinle uçarım sen

kalbimle inerim ben

sonsuz yollar var

biraz zamanla biter

aşkı yaşarım hep

geceyi kucaklarım

gündüzü severim az

seni düşlerim her an

kalbim titrer her gün

gözlerim arar seni hep

rüzgarla dans ederim

denize sorarım aşkı

ay ile susarım sessiz

güneşle uyanırım yavaş

sevmek bir hediye

hayat bir mucize

seni özlerim her zaman

umutla dolarım hep

gözlerinle gülerim çok

kalbimle ağlarım az

sonsuz rüyalarım

biraz sevgiyle başlar

aşkı korurum hep

geceyi dinlerim sessiz

gündüzü beklerim sabır

seni ararım her an

kalbim çarpar seninle

gözlerim bulur seni hep

rüzgarla uçarım sana

denize varırım senle

ay ile parlarım gece

güneşle solarım gündüz

sevmek bir bahar dalı

hayat bir kısa anı

seni yaşarım her zaman

umutla bakarım sana

gözlerinle uçarım hep

kalbimle severim seni

sonsuz masallarım

biraz hüzünle biter

aşkı saklarım kalbimde

geceyi severim senle

gündüzü ararım hep

seni özlerim her saniye

kalbim yanar senin için

gözlerim dalar uzaklara

rüzgarla gelirsin bana

denize gidersin sessiz

ay ile dinlersin beni

güneşle uyarsın hep

sevmek bir uzun yol

hayat bir kısa son

seni bulurum her zaman

umutla başlarım sana

gözlerinle biterim hep

kalbimle yaşarım seni

sonsuz hayallerim

biraz zamanla kaybolur

aşkı hissederim hep

geceyi kucaklarım senle

gündüzü beklerim az

seni düşlerim her dakika

kalbim titrer seninle

gözlerim arar hep seni

rüzgarla dans ederim sana

denize sorarım hep aşkı

ay ile susarım senle

güneşle uyanırım sana

sevmek bir güzel rüya

hayat bir tatlı gerçek

seni severim her an hep

umutla doluyum senle

gözlerinle yaşarım hep

kalbimle uyanırım sana

sonsuz sevgilerim

biraz hüzünle başlarım

aşkı yaşatırım hep

geceyi dinlerim senle

gündüzü severim az

seni özlerim her nefes

kalbim yanar hep seninle

gözlerim dalar sana hep

rüzgarla gelirsin sessiz

denize gidersin benimle

ay ile parlarsın geceye

güneşle solarsın gündüze

sevmek bir sonsuz dua

hayat bir kısa umut

seni bulurum her an hep

umutla bakarım hep sana

gözlerinle gülerim sana

kalbimle ağlarım azıcık

sonsuz rüyalarım senle

biraz sevgiyle dolarım

aşkı korurum hep senle

geceyi yaşarım seninle

gündüzü beklerim sabırla

seni ararım her zaman hep

kalbim çarpar senin için hep

gözlerim bulur seni her an

rüzgarla uçarım sana hep

denize varırım seninle

ay ile başlarım geceye

güneşle biterim gündüze

sevmek bir tatlı sanat

hayat bir güzel şans

seni özlerim her dakika hep

umutla dolarım seninle

gözlerinle uçarım hep sana

kalbimle inerim sessizce

sonsuz yollarım senle

biraz zamanla biter hep

aşkı saklarım kalbimde

geceyi severim seninle

gündüzü ararım hep az

seni düşlerim her saniye

kalbim titrer hep seninle

gözlerim arar seni sessiz

rüzgarla dans ederim hep

denize sorarım aşkı hep

ay ile dinlerim seni hep

güneşle gülerim sana hep

sevmek bir uzun bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım sana hep

gözlerinle yaşarım seni

kalbimle severim hep seni

sonsuz masallarım var

biraz hüzünle kaybolur

aşkı hissederim senle

geceyi kucaklarım hep

gündüzü beklerim azıcık

seni özlerim her zaman

kalbim yanar hep seninle

gözlerim dalar sana hep

rüzgarla gelirsin bana hep

denize gidersin sessizce

ay ile susarsın geceye

güneşle uyanırsın hep

sevmek bir güzel yol

hayat bir tatlı son

seni bulurum her dakika

umutla başlarım hep sana

gözlerinle biterim sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var

biraz sevgiyle kaybolur

aşkı yaşatırım senle

geceyi dinlerim hep sana

gündüzü severim azıcık

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur seni hep

rüzgarla uçarım sana hep

denize varırım sessizce

ay ile başlarım hep sana

güneşle biterim sessiz

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım sessiz

sonsuz sevgilerim var

biraz hüzünle başlar hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık

seni özlerim her nefeste

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin sessizce

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın gündüzde

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık

sonsuz rüyalarım var senle

biraz sevgiyle dolarım hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir uzun sanat

hayat bir kısa şans

seni özlerim her dakika hep

umutla dolarım hep senle

gözlerinle uçarım hep sana

kalbimle inerim hep sessiz

sonsuz yollarım var senle

biraz zamanla biter hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık

seni ararım her zaman hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

